"ID","Category","Question","Answer","Status","ResponseTimeMs","Timestamp","ErrorMessage"
"1","إجازات","ابغى اعرف كيف اسوي طلب إجازة أمومة من البوابة؟","يمكن تسجيل طلب إجازة أمومة عن طريق البوابة من خلال اتباع الخطوات التالية:

الدخول إلى البوابة.
اختيار خدمة ""الإجازات"".
الضغط على ""إضافة طلب إجازة"".
تحديد نوع الإجازة ""إجازة أمومة"".
تعبئة جميع الحقول المطلوبة مثل تاريخ البداية والنهاية وإرفاق المستندات الداعمة إذا لزم الأمر.
الضغط على ""حفظ"" لإرسال الطلب.

المصدر: [الأسئلة الشائعة]","success","18145","2026-03-20T01:00:53.137Z",""
"2","إجازات","وش الفرق بين إجازة الوضع وإجازة الأمومة؟","إجازة الوضع هي إجازة تستحقها الموظفة عند الولادة، ومدتها 70 يوماً بكامل الراتب، يمكن توزيعها كيف تشاء وتبدأ بحد أقصى قبل 28 يوماً من التاريخ المرجح للوضع بحسب شهادة طبية.

أما إجازة الأمومة، فهي إجازة تستطيع الموظفة الحصول عليها بعد نهاية إجازة الوضع للتفرغ لرعاية المولود، ومدتها الإجمالية ثلاث سنوات كحد أقصى طوال خدمتها، وتصرف بربع الراتب، وبحد أدنى 1500 ريال شهرياً. تُمنح خلال السنوات الثلاث الأولى من عمر الطفل، وللجهة الحكومية الحق في تأجيل منحها لمدة لا تتجاوز 90 يوماً إذا اقتضت مصلحة العمل.

بالتالي، الفرق الأساسي أن إجازة الوضع مرتبطة بواقعة الولادة مباشرة وبراتب كامل، بينما إجازة الأمومة تمنح بعد الوضع لرعاية الطفل ولفترة أطول ولكن بربع الراتب ووفق ضوابط محددة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","10978","2026-03-20T01:01:06.161Z",""
"3","إجازات","كيف أقدم على إجازة وضع إذا كان موعد الولادة محدد؟","يمكن تسجيل طلب إجازة أمومة (وضع) إذا كان موعد الولادة محددًا من خلال الخطوات التالية:

الدخول على بوابة الخدمات الذاتية للموظف.
اختيار قائمة ""الإجازات"".
الضغط على خيار ""تقديم طلب إجازة"".
اختيار نوع الإجازة ""إجازة أمومة"" وتحديد موعد بداية الإجازة بناءً على موعد الولادة المتوقع.
إرفاق المستندات المطلوبة مثل تقرير طبي يوضح موعد الولادة.
إرسال الطلب للموافقة عليه من الجهات المختصة.

المصدر: [الأسئلة الشائعة]","success","3563","2026-03-20T01:01:11.761Z",""
"4","إجازات","طلعت إجازة وضع ولدت قبل الموعد وش أسوي؟","يمكن تسجيل طلب إجازة أمومة عند حدوث حالة الولادة في أي وقت خلال فترة الحمل، حيث يتم تقديم طلب الإجازة مع إرفاق شهادة الميلاد أو تقرير طبي يثبت حدوث الولادة.

المصدر: [الأسئلة الشائعة]","success","4063","2026-03-20T01:01:17.864Z",""
"5","إجازات","أبي أعرف كيف أرفع مستندات إجازة الأمومة بعد ما سجلت الطلب؟","يمكنك رفع مستندات إجازة الأمومة بعد تسجيل الطلب من خلال الخطوات التالية:

الدخول الى رابط تقديم طلب اجازة.
الضغط على زر جديد.
اختيار نوع الاجازة: إجازة أمومة.
تعبئة الخانات والحفظ.
تحميل المستندات.

المصدر: [الأسئلة الشائعة]","success","8324","2026-03-20T01:01:28.219Z",""
"6","إجازات","كم مدة إجازة الوضع في النظام؟","مدة إجازة الوضع هي سبعين (70) يومًا كاملة تُمنح للموظفة براتب كامل. يمكن للموظفة توزيع هذه الإجازة كما تشاء، على أن تبدأ بحد أقصى قبل التاريخ المرجح للوضع بثمانية وعشرين يومًا. ويتم تحديد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5160","2026-03-20T01:01:35.411Z",""
"7","إجازات","هل تنحسب إجازة الوضع براتب كامل ولا لا؟","تستحق الموظفة إجازة وضع براتب كامل مدتها سبعين يوماً توزعها كيف تشاء، وتبدأ بحد أقصى بثمانية وعشرين يوماً قبل التاريخ المرجح للوضع ويحدد التاريخ المرجح للوضع بموجب شهادة طبية مصدقة من جهة صحية.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","4058","2026-03-20T01:01:41.502Z",""
"8","استعلامات","ابغى أتأكد من رصيد إجازاتي من البوابة كيف الطريقة؟","يمكنك الاستعلام عن رصيد إجازاتك من خلال الدخول على البوابة الإلكترونية للموارد البشرية، ثم اتباع الخطوات التالية:


اختر قائمة ""الخدمات الذاتية للموظف"".
اختر ""طلب إجازة"".
ستظهر صفحة موضح بها أنواع الإجازات ورصيد كل إجازة.

المصدر: [الأسئلة الشائعة]","success","2973","2026-03-20T01:01:46.501Z",""
"9","إجازات","ليش النظام رفض حفظ الإجازة يقول الرصيد ما يكفي؟","يتم رفض حفظ الإجازة بسبب عدم وجود رصيد كافٍ للإجازة المطلوبة في النظام، حيث يجب التأكد من وجود رصيد كافٍ في نوع الإجازة المختارة قبل تقديم الطلب وحفظه.

المصدر: [الأسئلة الشائعة]","success","4042","2026-03-20T01:01:52.567Z",""
"10","إجازات","كم عدد أيام الإجازة العادية المسموحة بالسنة؟","يستحق الموظف إجازة عادية مدتها ستة وثلاثون (36) يوماً عن كل سنة من سنوات خدمته براتب كامل حسب آخر راتب تقاضاه. ويجوز للموظف طلب التمتع برصيده من الإجازات العادية المستحقة له بما لا يتجاوز مائة وثمانية (108) أيام خلال السنة. أما الموظف الذي بلغت خدمته لغرض التقاعد خمسة وعشرين (25) عاماً فأكثر أو بلغ من العمر خمسين (50) عاماً فأكثر فيجوز له التمتع برصيده من الإجازات العادية المستحقة بما لا يتجاوز مائة وأربعة وأربعين (144) يوماً خلال السنة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5706","2026-03-20T01:02:00.318Z",""
"11","إجازات","وش سالفة الإجازة الاضطرارية كم يوم وكم راتبها؟","يحق للموظف الذي لا يتوافر له رصيد من الإجازة العادية بعد موافقة رئيسه أن يتغيب براتب كامل لأسباب اضطرارية مدة أقصاها خمسة أيام خلال السنة المالية الواحدة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5112","2026-03-20T01:02:07.457Z",""
"12","بطاقة موظف","كيف أضيف مرافقين جدد لبطاقتي الوظيفية؟","لإضافة مرافقين جدد لبطاقتك الوظيفية في نظام بوابة الخدمة الذاتية، يجب عليك اتباع الخطوات التالية:

الدخول إلى قائمة ""طلبات بطاقة الموظف"".
اختيار ""إضافة وتعديل المرافقين"".
ستظهر لك شاشة إضافة وتعديل المرافقين.
اضغط على زر ""جديد"".
قم بتعبئة الحقول المطلوبة:
الاسم بالعربي والإنجليزي للمرافق.
رقم السجل المدني أو الإقامة.
تاريخ الميلاد (هجري أو ميلادي).
تاريخ دخول المملكة لأول مرة.
الجنسية (اختيار من قائمة منسدلة).
صلة القرابة (اختيار من قائمة منسدلة).
حالة الإقامة (اختيار من قائمة منسدلة).

بعد تعبئة بيانات المرافق يظهر النظام لك جميع الحقول الخاصة بالمرافق، ويجب عليك التأكد من صحة جميع البيانات المذكورة وأنت تتحمل المسؤولية الكاملة عنها.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","6747","2026-03-20T01:02:16.238Z",""
"13","بطاقة موظف","وش المستندات المطلوبة لتسجيل مولود جديد؟","يجب عند تقديم طلب تسجيل مولود جديد أو طلب إجازة وضع القيام بما يلي:

الدخول إلى رابط تقديم طلب إجازة.
الضغط على زر جديد.
اختيار نوع الإجازة: إجازة وضع.
تعبئة الخانات والحفظ.
تحميل المستندات المطلوبة.

لم يتم توضيح أنواع المستندات بالتفصيل، لكن عليك تحميل المستندات اللازمة أثناء التقديم.

المصدر: [الأسئلة الشائعة]","success","5124","2026-03-20T01:02:23.387Z",""
"14","بطاقة موظف","أبي أعدل بياناتي الشخصية في النظام وين ألقى الشاشة؟","للوصول إلى شاشة تعديل البيانات الشخصية في النظام، اختر ""البيانات الشخصية"" من قائمة طلبات بطاقة الموظف. من خلال هذه الشاشة يمكنك تعديل جميع بياناتك الشخصية، فقط اضغط على زر ""تعديل"" وستظهر لك الحقول المطلوبة مثل اسم الموظف، رقم الموظف، ورقم السجل المدني. بعد إجراء التعديلات المطلوبة، يمكنك حفظها من نفس الشاشة.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","5143","2026-03-20T01:02:30.559Z",""
"15","بطاقة موظف","كيف أضيف مؤهل علمي جديد حصلت عليه؟","لإضافة مؤهل علمي جديد حصلت عليه، عليك اتباع الخطوات التالية في بوابة الخدمة الذاتية للموظف:

الدخول إلى شاشة ""إضافة وتعديل المؤهلات العلمية"" من قائمة الطلبات.
ستظهر لك بيانات المؤهلات العلمية الخاصة بك (المؤهلات المضافة سابقًا).
يمكنك إدخال بيانات مؤهل علمي جديد، وتشمل:
اختيار التصنيف (مؤهل علمي أو شهادة مهنية).
تحديد نوع المؤهل أو الشهادة من قائمة المؤهلات المعتمدة.
اختيار التخصص الرئيسي، ثم الفرعي إذا وجد.
إدخال مكان الإصدار وتاريخ الإصدار (هجري وميلادي).
تحديد جهة التخرج والتقدير وعدد سنوات الدراسة.
التأكد من صحة كافة البيانات المدخلة والإقرار بذلك.
رفع المرفقات المطلوبة (مثل صورة الشهادة) عبر الضغط على زر (Browse) ثم حفظ المرفق.
بعد حفظ البيانات والمرفق، سيتم إضافة المؤهل العلمي إلى بياناتك، ويظهر في بطاقة الموظف في النظام، حتى وإن لم تُعتمد البطاقة بعد من شؤون الموظفين.

المصدر: [دليل المستخدم] - User Manual HPA-part-1of2.pdf","success","7780","2026-03-20T01:02:40.373Z",""
"16","إجازات","وش الفرق بين إجازة الوفاة للرجال والنساء؟","الفرق بين إجازة الوفاة للرجال والنساء هو أن الموظف (الرجل) يستحق إجازة لمدة خمسة أيام براتب كامل في حالة وفاة زوجه أو أحد أقاربه إلى الدرجة الثالثة. أما الموظفة (المرأة) فتستحق إجازة لفترة عِدة الوفاة براتب كامل. تبدأ إجازة الوفاة من يوم الوفاة وتحتسب ضمنها العطل الرسمية أو عطلة نهاية الأسبوع ولا يعوض الموظف عنها.

المصدر: [دليل المستخدم] - HRSD-Regulations.pdf","success","5127","2026-03-20T01:02:47.537Z",""
"17","إجازات","كم يوم إجازة الأبوة للموظفين؟","مدة إجازة الأبوة للموظفين لم يتم تحديدها في اللائحة التنفيذية للموارد البشرية في الخدمة المدنية في المقتطف الواضح. الوثيقة تؤكد وجود إجازة أبوة كنوع إجازة ضمن التصنيفات الرسمية دون ذكر عدد الأيام الممنوحة. لم أجد في النتائج المسترجعة عدد الأيام المستحق صراحة.

المصدر: [دليل المستخدم] - hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf","success","5641","2026-03-20T01:02:55.217Z",""
"18","إجازات","توفي قريبي أبغى أقدم إجازة وفاة وش المطلوب؟","يمكن تقديم طلب إجازة وفاة.
الخطوات:

الدخول الى رابط تقديم طلب اجازة
الضغط على زر جديد
اختيار نوع الاجازة: إجازة وفاة
تعبئة الخانات والحفظ

المصدر: [الأسئلة الشائعة]","success","4075","2026-03-20T01:03:01.318Z",""
"19","استعلامات","كيف أتأكد من عدد إجازاتي المرضية هذا العام؟","الخطوات:
من رابط الاستعلامات

استعلامات الطلبات
بيانات الإجازات
اختيار ""استعلام عن الإجازات""
إدخال تاريخ بداية الاستعلام وتاريخ النهاية
الضغط على زر ""بحث""

سيظهر جدول بعدد الإجازات وتفاصيل كل إجازة وحالتها.

المصدر: [الأسئلة الشائعة]","success","5682","2026-03-20T01:03:09.038Z",""
"20","استعلامات","ابغى أتذكر إذا أخذت إجازة بشهر فبراير أو لا؟","لا يمكنني الإجابة على هذا السؤال لأنه غير مغطى ضمن المعلومات المتاحة لدي.","success","3025","2026-03-20T01:03:14.103Z",""
