id,question,category,file_name,file_page
1,ابغى اعرف كيف اسوي طلب إجازة أمومة من البوابة؟,إجازات,FAQ_Markdown.md,1
2,وش الفرق بين إجازة الوضع وإجازة الأمومة؟,إجازات,FAQ_Markdown.md,1
3,كيف أقدم على إجازة وضع إذا كان موعد الولادة محدد؟,إجازات,FAQ_Markdown.md,1
4,طلعت إجازة وضع ولدت قبل الموعد وش أسوي؟,إجازات,FAQ_Markdown.md,1
5,أبي أعرف كيف أرفع مستندات إجازة الأمومة بعد ما سجلت الطلب؟,إجازات,FAQ_Markdown.md,1
6,كم مدة إجازة الوضع في النظام؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
7,هل تنحسب إجازة الوضع براتب كامل ولا لا؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
8,ابغى أتأكد من رصيد إجازاتي من البوابة كيف الطريقة؟,استعلامات,FAQ_Markdown.md,2
9,ليش النظام رفض حفظ الإجازة يقول الرصيد ما يكفي؟,إجازات,FAQ_Markdown.md,2
10,كم عدد أيام الإجازة العادية المسموحة بالسنة؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,33
11,وش سالفة الإجازة الاضطرارية كم يوم وكم راتبها؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,34
12,كيف أضيف مرافقين جدد لبطاقتي الوظيفية؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,34
13,وش المستندات المطلوبة لتسجيل مولود جديد؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,38
14,أبي أعدل بياناتي الشخصية في النظام وين ألقى الشاشة؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,41
15,كيف أضيف مؤهل علمي جديد حصلت عليه؟,بطاقة موظف,Priority_Source_2_User Manual HPA-Complete.pdf,46
16,وش الفرق بين إجازة الوفاة للرجال والنساء؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
17,كم يوم إجازة الأبوة للموظفين؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
18,توفي قريبي أبغى أقدم إجازة وفاة وش المطلوب؟,إجازات,FAQ_Markdown.md,2
19,كيف أتأكد من عدد إجازاتي المرضية هذا العام؟,استعلامات,FAQ_Markdown.md,2
20,ابغى أتذكر إذا أخذت إجازة بشهر فبراير أو لا؟,استعلامات,FAQ_Markdown.md,2
21,وش صندوق الوارد في البوابة وشلون أستخدمه؟,بوابة,Priority_Source_2_User Manual HPA-Complete.pdf,16
22,كيف أشوف طلباتي السابقة اللي قدمتها؟,طلبات,Priority_Source_2_User Manual HPA-Complete.pdf,19
23,ليش ما أقدر أعدل وسيلة السفر في طلب الانتداب؟,انتداب,FAQ_Markdown.md,3
24,وش الحقول الإلزامية اللي لازم أدخلها في طلب الإفادة عن الانتداب؟,انتداب,FAQ_Markdown.md,3
25,إذا حفظت طلب انتداب هل ينزل مباشرة لشؤون الموظفين؟,انتداب,FAQ_Markdown.md,3
26,كم أقصى مدة للإعارة في النظام؟,إعارة,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,21
27,هل أقدر أقدم شكوى في البوابة وكيف؟,شكاوى,FAQ_Markdown.md,3
28,وين ألقى شاشة تسجيل الاقتراحات للموظفين؟,اقتراحات,FAQ_Markdown.md,3
29,وش الفرق بين الإجازة الاستثنائية والإجازة الدراسية؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,34
30,كم مدة إجازة مرافقة المريض؟,إجازات,hrsd - اللائحة التنفيذية للموارد البشرية في الخدمة المدنية.pdf,36
31,كيف أطلب خطاب تعريف من البوابة؟,خطابات,Priority_Source_2_User Manual HPA-Complete.pdf,59
32,ابغى أطبع خطاب تعريف بالراتب والبدلات وين القاها؟,خطابات,Priority_Source_2_User Manual HPA-Complete.pdf,69
33,كيف أقدم على شهادة خبرة من النظام؟,خطابات,Priority_Source_2_User Manual HPA-Complete.pdf,62
34,ليش ما أقدر أعدل بيانات خط السير في قرار الانتداب؟,انتداب,FAQ_Markdown.md,3
35,وش صفة الطلب في طلب صرف المواد وشلون أحددها؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,35
36,كيف أسجل خطاب تأمين في بوابة المستودعات؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,14
37,أبي أعتمد خطاب طلب تأمين من الجهة الطالبة وين ألقاها؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,22
38,وش مراحل اعتماد خطاب التأمين في البوابة؟,مستودعات,دليل المستخدم لبوابة المستودعات والمشتريات - جامعة الحدود الشمالية.docx,21
